ARTICLE CODE ;;;;SUPPLIER;SUPPILER ROLL NUMBER;MTS;MINIMUM CUTTABLE  WIDTH CM  ;$/M;$/ROLL
;;;;;;;;;
GIUNONE;01;25025;LIGHT BLUE ;LUTHAI;1;60,8;145,5; $2,42 ; $147,14 
GIUNONE;02;25025;LIGHT BLUE ;LUTHAI;2;62,7;145,5; $2,42 ; $151,73 
GIUNONE;03;25025;LIGHT BLUE ;LUTHAI;3;99,2;145,5; $2,42 ; $240,06 
GIUNONE;04;25025;LIGHT BLUE ;LUTHAI;4;99,3;145,8; $2,42 ; $240,31 
GIUNONE;05;25025;LIGHT BLUE ;LUTHAI;5;99,6;145,8; $2,42 ; $241,03 
GIUNONE;06;25025;LIGHT BLUE ;LUTHAI;6;92,8;145,8; $2,42 ; $224,58 
GIUNONE;07;25025;LIGHT BLUE ;LUTHAI;7;99,9;145,5; $2,42 ; $241,76 
GIUNONE;08;25025;LIGHT BLUE ;LUTHAI;8;99,2;145,8; $2,42 ; $240,06 
GIUNONE;09;25025;LIGHT BLUE ;LUTHAI;9;99,7;145,8; $2,42 ; $241,27 
GIUNONE;10;25025;LIGHT BLUE ;LUTHAI;10;93,5;145,8; $2,42 ; $226,27 
GIUNONE;11;25025;LIGHT BLUE ;LUTHAI;11;51,9;145,5; $2,42 ; $125,60 
GIUNONE;12;25025;LIGHT BLUE ;LUTHAI;12;76,9;145,5; $2,42 ; $186,10 
TOTAL;12 rolls;;;;;1035,5;;; $2.505,91 
